NT,    N,         TIME,        SPEEDUP,     EFFICIENCY,             RESULT
 1,  800, 3.782034e-03, 1.000000000000, 1.000000000000, 5471.767610427162
 2,  800, 2.004147e-03, 1.887104449203, 0.943552224601, 5471.767610427162
 4,  800, 1.616955e-03, 2.338985549985, 0.584746387496, 5471.767610427162
 8,  800, 9.529591e-04, 3.968726544909, 0.496090818114, 5471.767610427162
 1, 1600, 1.398706e-02, 1.000000000000, 1.000000000000, 10905.443429359564
 2, 1600, 7.807970e-03, 1.791382942991, 0.895691471495, 10905.443429359564
 4, 1600, 4.837036e-03, 2.891660094637, 0.722915023659, 10905.443429359564
 8, 1600, 2.601147e-03, 5.377268560953, 0.672158570119, 10905.443429359564
 1, 2400, 3.182197e-02, 1.000000000000, 1.000000000000, 16324.430894418068
 2, 2400, 1.702785e-02, 1.868818258191, 0.934409129095, 16324.430894418068
 4, 2400, 9.590149e-03, 3.318193118536, 0.829548279634, 16324.430894418068
 8, 2400, 5.064011e-03, 6.283945386064, 0.785493173258, 16324.430894418068
 1, 3200, 5.610490e-02, 1.000000000000, 1.000000000000, 21622.744217042404
 2, 3200, 2.941990e-02, 1.907039126066, 0.953519563033, 21622.744217042404
 4, 3200, 1.606512e-02, 3.492342168532, 0.873085542133, 21622.744217042404
 8, 3200, 8.165121e-03, 6.871287996029, 0.858910999504, 21622.744217042404
 1, 4000, 8.723307e-02, 1.000000000000, 1.000000000000, 26990.216218751124
 2, 4000, 4.604197e-02, 1.894642542747, 0.947321271373, 26990.216218751124
 4, 4000, 2.356696e-02, 3.701498275112, 0.925374568778, 26990.216218751124
 8, 4000, 1.229501e-02, 7.094998933468, 0.886874866683, 26990.216218751124
 1, 4800, 1.303661e-01, 1.000000000000, 1.000000000000, 32285.568183937012
 2, 4800, 6.585097e-02, 1.979713901933, 0.989856950967, 32285.568183937012
 4, 4800, 3.372312e-02, 3.865778217682, 0.966444554420, 32285.568183937012
 8, 4800, 1.732898e-02, 7.523010882875, 0.940376360359, 32285.568183937012
 1, 5600, 1.608469e-01, 1.000000000000, 1.000000000000, 37677.556939220398
 2, 5600, 4.977584e-02, 3.231426176506, 1.615713088253, 37677.556939220398
 4, 5600, 2.411079e-02, 6.671159322838, 1.667789830710, 37677.556939220398
 8, 5600, 1.744819e-02, 9.218548023448, 1.152318502931, 37677.556939220398
