ORDER, SIZE, TIME, GFLOPS
ijk, 256, 0.078800, 4.25816577e+00
kji, 256, 0.311754, 1.07631123e+00
ikj, 256, 0.005836, 5.74955014e+01
jik, 256, 0.084257, 3.98238507e+00
kij, 256, 0.003218, 1.04265438e+02
jki, 256, 0.317203, 1.05782188e+00
block, 256, 0.004662, 7.19737590e+01
ijk, 512, 0.815140, 3.29312085e+00
kji, 512, 2.480829, 1.08203933e+00
ikj, 512, 0.024687, 1.08736374e+02
jik, 512, 0.832461, 3.22460052e+00
kij, 512, 0.024500, 1.09564904e+02
jki, 512, 2.509954, 1.06948358e+00
block, 512, 0.023533, 1.14067160e+02
ijk, 768, 2.823248, 3.20896222e+00
kji, 768, 8.525408, 1.06267015e+00
ikj, 768, 0.082757, 1.09473483e+02
jik, 768, 2.862486, 3.16497487e+00
kij, 768, 0.088693, 1.02146804e+02
jki, 768, 8.643507, 1.04815055e+00
block, 768, 0.075995, 1.19214427e+02
ijk, 1024, 6.797707, 3.15912943e+00
kji, 1024, 20.232185, 1.06141955e+00
ikj, 1024, 0.201591, 1.06526754e+02
jik, 1024, 6.915641, 3.10525608e+00
kij, 1024, 0.216789, 9.90586966e+01
jki, 1024, 20.294866, 1.05814134e+00
block, 1024, 0.183908, 1.16769310e+02
ijk, 1280, 13.317371, 3.14949853e+00
kji, 1280, 39.372787, 1.06527994e+00
ikj, 1280, 0.456501, 9.18794030e+01
jik, 1280, 13.528611, 3.10032125e+00
kij, 1280, 0.543822, 7.71264056e+01
jki, 1280, 39.578129, 1.05975297e+00
block, 1280, 0.353616, 1.18611828e+02
ijk, 1536, 23.064589, 3.14237436e+00
kji, 1536, 68.987412, 1.05059128e+00
ikj, 1536, 1.151643, 6.29340609e+01
jik, 1536, 23.357825, 3.10292474e+00
kij, 1536, 1.311086, 5.52805662e+01
jki, 1536, 68.256511, 1.06184116e+00
block, 1536, 0.607390, 1.19326268e+02
